Broad Tissue,Detailed Tissue,RNA Integrity Number (1-10),Mapping Rate ,Exonic Rate,Genes Detected
Brain,Brain - Hypothalamus,7.8,0.995759,0.823389,25809
Heart,Heart - Atrial Appendage,6.5,0.993844,0.838907,20300
Skin,Cells - Cultured fibroblasts,10,0.99422,0.868457,21349
Brain,Brain - Nucleus accumbens (basal ganglia),7.1,0.989305,0.787451,23365
Colon,Colon - Sigmoid,6.9,0.993732,0.803342,23373
Adipose Tissue,Adipose - Visceral (Omentum),8.3,0.993687,0.790227,25647
Breast,Breast - Mammary Tissue,8.3,0.993513,0.813117,23339
Muscle,Muscle - Skeletal,8,0.99632,0.893383,18647
Bone Marrow,Cells - Leukemia cell line (CML),9.5,0.990257,0.82933,21498
Skin,Skin - Sun Exposed (Lower leg),7.1,0.994833,0.769797,22000
Vagina,Vagina,6.5,0.992614,0.746325,23150
Blood Vessel,Artery - Tibial,6.7,0.99113,0.820933,22392
Kidney,Kidney - Cortex,5.9,0.98528,0.893496,17505
Esophagus,Esophagus - Muscularis,6.3,0.993423,0.757739,24397
Blood,Whole Blood,7.4,0.935903,0.783082,16845
